episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
58, 1773.5526270866394, 1, 10.126116784056649, 494, 167282,                                             167282, 8.709882736206055, 373.2439880371094
59, 1090.287451595068, 1, 12.760350935044698, 639, 167921,                                             167921, 8.467938423156738, 372.1681823730469
60, 1275.9585026204586, 1, 14.937265850952826, 709, 168630,                                             168630, 8.8404541015625, 372.57757568359375
61, 1452.752396762371, 1, 14.053977352916263, 706, 169336,                                             169336, 8.23981761932373, 375.1567077636719
62, 1376.751419633627, 1, 15.942160998936743, 756, 170092,                                             170092, 8.61356258392334, 370.9130554199219
63, 1410.248928874731, 1, 14.560469503048807, 723, 170815,                                             170815, 8.107490539550781, 366.7649841308594
64, 1030.3029650449753, 1, 14.934421262005344, 761, 171576,                                             171576, 8.536824226379395, 371.59539794921875
65, 1096.8329817652702, 1, 16.56289767601993, 809, 172385,                                             172385, 8.992613792419434, 371.7172546386719
66, 1251.2978240847588, 1, 15.541079915943556, 765, 173150,                                             173150, 8.62023639678955, 366.646484375
67, 1647.6158035695553, 1, 12.53154315892607, 598, 173748,                                             173748, 8.09526538848877, 364.8383483886719
68, 1816.0085308253765, 1, 9.343157768016681, 465, 174213,                                             174213, 8.950411796569824, 362.8560791015625
69, 1283.4924073815346, 1, 11.327109251986258, 562, 174775,                                             174775, 8.953171730041504, 362.6505432128906
70, 1315.0035589933395, 1, 12.331259467988275, 617, 175392,                                             175392, 8.766260147094727, 362.8746643066406
71, 1443.6804434359074, 1, 12.63703620096203, 632, 176024,                                             176024, 8.073003768920898, 364.18658447265625
72, 1761.232456356287, 1, 10.926968079991639, 544, 176568,                                             176568, 8.938392639160156, 361.45098876953125
73, 968.7181441187859, 1, 13.73740684601944, 651, 177219,                                             177219, 7.833446025848389, 362.275634765625
74, 1745.5200635194778, 1, 10.550395986065269, 508, 177727,                                             177727, 8.307737350463867, 364.74383544921875
75, 1755.4532815515995, 1, 11.325694088940509, 537, 178264,                                             178264, 8.704422950744629, 361.6608581542969
76, 1732.230107396841, 1, 13.758502688026056, 646, 178910,                                             178910, 9.23360824584961, 362.4446716308594
77, -3915.4471628665924, 2, 8.119548581074923, 390, 179300,                                             179300, 8.777958869934082, 358.6416015625
78, 1200.444459617138, 1, 14.942896373104304, 728, 180028,                                             180028, 8.282078742980957, 361.8741455078125
79, 1385.393338471651, 1, 16.16436903201975, 804, 180832,                                             180832, 9.209025382995605, 361.461181640625
80, 1418.867692142725, 1, 14.933065729914233, 723, 181555,                                             181555, 9.02694034576416, 358.34698486328125
81, 1312.079273313284, 1, 13.453269047895446, 631, 182186,                                             182186, 9.748912811279297, 356.9032897949219
82, 722.3554477393627, 1, 17.7436505620135, 867, 183053,                                             183053, 9.087647438049316, 358.54510498046875
83, 348.9502167105675, 1, 18.174320313031785, 908, 183961,                                             183961, 8.538880348205566, 355.98321533203125
84, 1321.1519595980644, 1, 12.531047967961058, 594, 184555,                                             184555, 9.499256134033203, 358.1470031738281
85, 1781.272105038166, 1, 12.933177910046652, 617, 185172,                                             185172, 8.311739921569824, 354.760986328125
86, 1693.2959977835417, 1, 13.735696120071225, 660, 185832,                                             185832, 8.896347999572754, 352.48876953125
87, 1762.3338623642921, 1, 12.95213332795538, 656, 186488,                                             186488, 8.957770347595215, 354.76971435546875
88, 1373.6470274925232, 1, 17.94494608603418, 881, 187369,                                             187369, 8.64677906036377, 350.167236328125
89, 1432.810364216566, 1, 11.942439935985021, 590, 187959,                                             187959, 9.403103828430176, 352.00616455078125
90, 1999.6217590272427, 1, 10.124793949071318, 471, 188430,                                             188430, 9.765227317810059, 351.691162109375
91, -4032.12646651268, 2, 8.010813012951985, 387, 188817,                                             188817, 9.105506896972656, 351.474365234375
92, 2148.1217219233513, 1, 5.517225275048986, 249, 189066,                                             189066, 9.652632713317871, 350.3570861816406
93, 1688.9698091745377, 1, 9.54616426199209, 477, 189543,                                             189543, 9.250669479370117, 353.25299072265625
94, 1894.4596477150917, 1, 11.327660343958996, 542, 190085,                                             190085, 9.149284362792969, 350.9059753417969
95, 1159.6257739961147, 1, 14.767505452036858, 716, 190801,                                             190801, 8.794856071472168, 349.57366943359375
96, -2334.8902942836285, 1, 28.37171711307019, 1374, 192175,                                             192175, 8.739278793334961, 351.09381103515625
97, 92.34018847346306, 1, 22.572333069052547, 1116, 193291,                                             193291, 9.162496566772461, 351.2833251953125
98, 1165.1236878931522, 1, 15.74451530794613, 760, 194051,                                             194051, 8.820119857788086, 345.9591369628906
99, 1258.641531586647, 1, 13.159641833975911, 621, 194672,                                             194672, 8.494519233703613, 346.2693786621094
100, 1348.0692691206932, 1, 14.33822231204249, 714, 195386,                                             195386, 8.51724910736084, 347.5343933105469
101, -3893.380662918091, 1, 22.889011731022038, 1133, 196519,                                             196519, 9.195685386657715, 352.3318786621094
102, 26.53934806585312, 1, 20.956337634008378, 1024, 197543,                                             197543, 9.064126968383789, 353.5433044433594
103, -462.11801755428314, 1, 32.19914419809356, 1567, 199110,                                             199110, 9.01900577545166, 353.16998291015625
104, 1863.8812443315983, 1, 10.726478592958301, 521, 199631,                                             199631, 9.425363540649414, 351.39971923828125
105, 1463.4263112545013, 1, 11.748617790988646, 574, 200205,                                             200205, 8.89439868927002, 352.90008544921875
106, -948.5369095206261, 1, 31.17567302507814, 1540, 201745,                                             201745, 9.197224617004395, 351.0179748535156
107, 2085.1529173851013, 1, 8.723135951906443, 398, 202143,                                             202143, 9.837822914123535, 348.6643371582031
108, 925.3277345895767, 1, 14.55759430094622, 710, 202853,                                             202853, 9.089672088623047, 347.224365234375
109, 1422.6120428442955, 1, 14.134509011986665, 660, 203513,                                             203513, 9.367086410522461, 348.2125244140625
110, 903.9905357956886, 1, 18.158502468955703, 889, 204402,                                             204402, 8.975249290466309, 347.12335205078125
111, 646.9305359125137, 1, 19.226616253028624, 936, 205338,                                             205338, 9.52971363067627, 346.3624572753906
112, 965.7196563482285, 1, 16.94820080907084, 822, 206160,                                             206160, 8.809325218200684, 343.3921203613281
113, 570.8654725551605, 1, 19.37729081895668, 938, 207098,                                             207098, 8.708985328674316, 343.2012023925781
114, 1352.8458400964737, 1, 11.93227614404168, 577, 207675,                                             207675, 9.44765853881836, 343.34857177734375
115, 1431.3582603037357, 1, 12.547694101114757, 593, 208268,                                             208268, 8.888284683227539, 340.3695373535156
116, 1040.578219115734, 1, 13.333979849005118, 660, 208928,                                             208928, 9.38481330871582, 340.2806091308594
117, 541.7109954357147, 1, 21.37679415103048, 1048, 209976,                                             209976, 10.232443809509277, 338.83526611328125
118, 1146.1631146669388, 1, 10.32394084695261, 487, 210463,                                             210463, 8.808205604553223, 339.7870178222656
119, 1831.1581044197083, 1, 10.524290945963003, 506, 210969,                                             210969, 9.059080123901367, 335.54608154296875
120, 1450.6570964455605, 1, 11.751146933995187, 573, 211542,                                             211542, 8.807174682617188, 336.4596862792969
121, 1979.3188674747944, 1, 7.972161617944948, 381, 211923,                                             211923, 8.429000854492188, 339.8485107421875
122, 1724.625337332487, 1, 10.350027088075876, 512, 212435,                                             212435, 9.561448097229004, 336.92724609375
123, 1834.6404119729996, 1, 9.12406343803741, 442, 212877,                                             212877, 10.766955375671387, 336.4144592285156
124, 1391.9743564724922, 1, 10.544899704982527, 518, 213395,                                             213395, 9.663643836975098, 334.69427490234375
125, 1397.0402452647686, 1, 11.931075201020576, 587, 213982,                                             213982, 9.081803321838379, 331.5381164550781
126, 1849.9564042687416, 1, 10.348578743054532, 497, 214479,                                             214479, 8.929776191711426, 329.89971923828125
127, 1290.5405865311623, 1, 13.736198388040066, 647, 215126,                                             215126, 8.525745391845703, 328.4258728027344
128, 393.7854437828064, 1, 20.973528332076967, 1031, 216157,                                             216157, 8.922796249389648, 328.4504089355469
129, 824.6224568486214, 1, 18.346282232087106, 880, 217037,                                             217037, 8.87352180480957, 328.31182861328125
130, 493.0646668076515, 1, 20.953589774901047, 1031, 218068,                                             218068, 8.784601211547852, 325.4599609375
131, 868.8040686249733, 1, 18.212818845990114, 893, 218961,                                             218961, 8.246450424194336, 324.8316345214844
132, 1878.493835568428, 1, 8.352183206938207, 403, 219364,                                             219364, 8.910798072814941, 324.90655517578125
133, 1503.776709973812, 1, 14.939247122965753, 728, 220092,                                             220092, 8.164704322814941, 323.8790588378906
134, 1555.9692488312721, 1, 13.36005514091812, 631, 220723,                                             220723, 8.836640357971191, 321.155517578125
135, 1744.160109192133, 1, 11.930196075933054, 555, 221278,                                             221278, 8.389137268066406, 323.91796875
136, 1619.6455629765987, 1, 11.953960346989334, 575, 221853,                                             221853, 8.83826732635498, 319.95989990234375
137, 1370.8988497257233, 1, 13.530531562981196, 655, 222508,                                             222508, 7.849575996398926, 319.78021240234375
138, 305.9676325917244, 1, 19.771633869968355, 969, 223477,                                             223477, 8.919869422912598, 321.82464599609375
139, 1102.7114416062832, 1, 14.933883739984594, 716, 224193,                                             224193, 8.663288116455078, 316.7290954589844
140, 1020.9647847115993, 1, 15.539419695967808, 778, 224971,                                             224971, 8.976855278015137, 318.0392761230469
141, 1006.0750330686569, 1, 18.83648727100808, 928, 225899,                                             225899, 8.273796081542969, 314.28497314453125
142, 671.2494323551655, 1, 17.546352731995285, 841, 226740,                                             226740, 9.119154930114746, 315.3704528808594
143, 931.8160456717014, 1, 17.1635067720199, 826, 227566,                                             227566, 8.13885498046875, 313.92510986328125
144, 916.6739295125008, 1, 20.74988925398793, 1002, 228568,                                             228568, 8.735151290893555, 313.50244140625
145, 1103.3296131193638, 1, 16.34083749295678, 789, 229357,                                             229357, 8.916702270507812, 310.9179992675781
146, 1876.2618134617805, 1, 9.351916340063326, 457, 229814,                                             229814, 8.558006286621094, 313.4491882324219
147, 725.8778110146523, 1, 20.547218716004863, 982, 230796,                                             230796, 8.429790496826172, 311.7750549316406
148, 1090.0840991139412, 1, 14.966756629059091, 734, 231530,                                             231530, 8.522255897521973, 309.6383972167969
149, 574.4049614667892, 1, 18.14437671599444, 869, 232399,                                             232399, 8.780411720275879, 309.8684997558594
150, 1580.6404207348824, 1, 11.729318202007562, 570, 232969,                                             232969, 7.401823043823242, 306.1709899902344
151, 783.6584067046642, 1, 19.222944073961116, 941, 233910,                                             233910, 8.47795581817627, 307.6441955566406
152, 221.16569417715073, 1, 22.757437670021318, 1097, 235007,                                             235007, 8.097676277160645, 306.5505676269531
153, 1408.3297438174486, 1, 13.95256571797654, 659, 235666,                                             235666, 8.387528419494629, 307.4087829589844
154, 1514.4261347055435, 1, 13.939290349022485, 664, 236330,                                             236330, 8.255864143371582, 305.1323547363281
155, 1286.512953132391, 1, 16.760588818928227, 794, 237124,                                             237124, 8.585738182067871, 302.8326416015625
156, 993.2025221884251, 1, 19.75232401303947, 947, 238071,                                             238071, 8.15664005279541, 302.43450927734375
157, 1299.3385474979877, 1, 14.364328021067195, 674, 238745,                                             238745, 9.005688667297363, 301.053955078125
158, 1141.6958502829075, 1, 13.134577876073308, 629, 239374,                                             239374, 8.622710227966309, 302.0926208496094
159, 862.1294236332178, 1, 17.965333435917273, 840, 240214,                                             240214, 9.240076065063477, 303.2568664550781
160, 555.8455339670181, 1, 20.75481066701468, 1025, 241239,                                             241239, 8.483457565307617, 299.8857421875
161, 1025.9662360548973, 1, 19.42137983709108, 921, 242160,                                             242160, 9.010194778442383, 299.077392578125
162, 1101.27114918828, 1, 17.33923587494064, 836, 242996,                                             242996, 9.698427200317383, 298.82208251953125
163, 1501.330316632986, 1, 14.540607409900986, 682, 243678,                                             243678, 8.502501487731934, 297.6161193847656
164, 1385.3188821673393, 1, 15.136266132001765, 739, 244417,                                             244417, 8.745657920837402, 296.0876159667969
165, 1565.3673132658005, 1, 10.732039651018567, 515, 244932,                                             244932, 8.7599458694458, 298.9776611328125
